#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AT4G16155	AT5G65750	3702.AT4G16155.1	3702.AT5G65750.1	0	0	0	0	0	0.784	0	0	0.784
AT4G18330	TIF3C2	3702.AT4G18330.2	3702.AT3G22860.1	0	0	0	0	0	0.805	0	0	0.805
AT4G18465	AT5G25230	3702.AT4G18465.1	3702.AT5G25230.1	0	0	0	0	0	0.789	0	0	0.789
AT4G24820	EMB2719	3702.AT4G24820.1	3702.AT1G20200.1	0	0	0	0	0	0.858	0	0	0.858
AT4G24820	RPT1A	3702.AT4G24820.1	3702.AT1G53750.1	0	0	0	0	0	0.840	0	0	0.840
AT4G24820	RPN1A	3702.AT4G24820.1	3702.AT2G20580.1	0	0	0	0	0	0.998	0	0	0.998
AT4G24820	UBP7	3702.AT4G24820.1	3702.AT3G21280.1	0	0	0	0	0	0.837	0	0	0.837
AT4G24820	PAC1	3702.AT4G24820.1	3702.AT3G22110.1	0	0	0	0	0	0.857	0	0	0.857
AT4G24820	RPT6A	3702.AT4G24820.1	3702.AT5G19990.1	0	0	0	0	0	0.858	0	0	0.858
AT4G24820	RPT4A	3702.AT4G24820.1	3702.AT5G43010.1	0	0	0	0	0	0.837	0	0	0.837
AT4G24820	RPT2a	3702.AT4G24820.1	3702.AT4G29040.1	0	0	0	0	0	0.927	0	0	0.927
AT4G25730	EMB3129	3702.AT4G25730.1	3702.AT4G02790.1	0	0	0	0	0	0.835	0	0	0.835
AT4G25730	AT5G61970	3702.AT4G25730.1	3702.AT5G61970.1	0	0	0	0	0	0.827	0	0	0.827
AT4G25730	AT5G52490	3702.AT4G25730.1	3702.AT5G52490.1	0	0	0	0	0	0.751	0	0	0.751
AT4G30600	AT5G49500	3702.AT4G30600.1	3702.AT5G49500.1	0	0	0	0.612	0	0.770	0	0	0.770
AT4G30825	UVH6	3702.AT4G30825.1	3702.AT1G03190.2	0	0	0	0	0	0.998	0	0	0.998
AT4G30825	NRPD1B	3702.AT4G30825.1	3702.AT2G40030.1	0	0	0	0	0	0.731	0	0	0.731
AT5G09890	AT5G15680	3702.AT5G09890.2	3702.AT5G15680.1	0	0	0	0	0	0.703	0	0	0.703
AT5G16070	AT5G26360	3702.AT5G16070.1	3702.AT5G26360.1	0	0	0	0.732	0	0.857	0	0	0.857
AT5G16070	AT5G20890	3702.AT5G16070.1	3702.AT5G20890.1	0	0	0	0.744	0	0.857	0	0	0.857
AT5G18230	VIP2	3702.AT5G18230.2	3702.AT5G59710.1	0	0	0	0.551	0	0.840	0	0	0.840
AT5G20890	PP2AB2	3702.AT5G20890.1	3702.AT1G17720.1	0	0	0	0	0	0.736	0	0	0.736
AT5G20890	AT5G26360	3702.AT5G20890.1	3702.AT5G26360.1	0	0	0	0.758	0	0.943	0	0	0.943
AT5G25230	emb1220	3702.AT5G25230.1	3702.AT1G60170.1	0	0	0	0	0	0.837	0	0	0.837
AT5G25230	SAP130a	3702.AT5G25230.1	3702.AT3G55200.1	0	0	0	0	0	0.832	0	0	0.832
AT5G25230	EMB2770	3702.AT5G25230.1	3702.AT4G03430.1	0	0	0	0	0	0.837	0	0	0.837
AT5G25230	ATO	3702.AT5G25230.1	3702.AT5G06160.1	0	0	0	0	0	0.749	0	0	0.749
AT5G26360	PP2AB2	3702.AT5G26360.1	3702.AT1G17720.1	0	0	0	0	0	0.734	0	0	0.734
AT5G49500	AT5G61970	3702.AT5G49500.1	3702.AT5G61970.1	0	0	0	0	0	0.832	0	0	0.832
AT5G52490	EMB2762	3702.AT5G52490.1	3702.AT2G17250.1	0	0	0	0	0	0.833	0	0	0.833
AT5G52490	NRPD1B	3702.AT5G52490.1	3702.AT2G40030.1	0	0	0	0	0	0.732	0	0	0.732
AT5G61140	ATO	3702.AT5G61140.2	3702.AT5G06160.1	0	0	0	0	0	0.718	0	0	0.718
AT5G66240	ESP4	3702.AT5G66240.2	3702.AT5G01400.1	0	0	0	0	0	0.802	0	0	0.802
ATO	emb1220	3702.AT5G06160.1	3702.AT1G60170.1	0	0	0	0	0	0.849	0	0	0.849
ATO	SAP130a	3702.AT5G06160.1	3702.AT3G55200.1	0	0	0	0	0	0.828	0	0	0.828
ATO	EMB2770	3702.AT5G06160.1	3702.AT4G03430.1	0	0	0	0	0	0.858	0	0	0.858
CDC48	NRPD1B	3702.AT3G09840.1	3702.AT2G40030.1	0	0	0	0	0	0.752	0	0	0.752
